location,name,appointments,capacity,metadata_1,metadata_2
BS20 6AQ,GP,7352,11960,78,45
BS3 1AS,GP,14618,18826,29,95
BS11 9SB,GP,4369,6490,84,71
BS14 8PT,GP,3932,5815,5,82
BS6 5PT,GP,8486,13864,76,93
BS16 3TD,GP,4371,5691,44,68
BS36 2DE,GP,5658,5226,28,67
BS5 0UA,GP,6594,11131,80,30
BS23 1YA,GP,4852,4492,60,29
BS9 3AA,GP,4254,5965,95,43
BS35 1DP,GP,2074,3462,57,15
BS34 6BQ,GP,5756,8034,66,28
BS25 1AF,GP,3758,3490,92,60
BS7 9RR,GP,6950,5741,59,23
BS5 6SA,GP,2020,2575,89,15
BS37 4DQ,GP,5708,8460,48,98
BS16 5SG,GP,10207,9025,88,17
BS7 0LS,GP,20,33,59,49
BS30 5QQ,GP,3700,5463,47,57
BS14 0SU,GP,6511,10110,33,80
BS4 4HU,GP,3226,3016,74,47
BS48 2XX,GP,12767,20193,39,53
BS34 5TF,GP,4001,5734,28,92
BS10 6SP,GP,8117,7284,76,91
BS5 7PD,GP,5180,7258,73,21
BS21 6DG,GP,6313,9630,65,56
BS13 0JP,GP,3008,3129,95,12
BS37 4AA,GP,4505,4094,32,43
BS23 3HQ,GP,4783,5715,13,38
BS23 4JP,GP,4175,5018,66,54
BS16 6UG,GP,3857,5169,89,90
BS37 4AX,GP,5334,5387,66,59
BS30 5JZ,GP,2763,4335,81,98
BS13 7JD,GP,3308,3924,47,71
BS13 8LD,GP,4357,4533,7,1
BS15 8NJ,GP,4650,5313,18,42
BS22 8AG,GP,3523,4559,11,12
BS5 9QY,GP,3783,6182,11,64
BS15 1WW,GP,8895,8918,24,45
BS15 4EJ,GP,4888,4787,46,34
BS24 7DX,GP,4468,3662,88,14
BS10 6DF,GP,4337,4231,69,55
BS16 2JD,GP,9246,14674,78,25
BS9 2HL,GP,2817,3578,30,49
BS7 8SA,GP,7915,12446,24,27
BS15 3HY,GP,8591,8694,60,22
BS8 3EU,GP,6492,9479,9,61
BS3 4AT,GP,4793,7204,92,28
BS4 2QJ,GP,4359,7042,14,5
BS20 0DL,GP,2610,3526,1,1
BS40 5EL,GP,17345,25482,30,99
BS2 0AN,GP,3771,5738,48,32
BS6 6DF,GP,6347,8952,58,63
BS8 2PU,GP,6553,6017,61,73
BS4 1WH,GP,2662,3851,85,38
BS10 6AF,GP,3440,3006,53,75
BS35 2AT,GP,3146,3212,38,59
BS7 9EG,GP,20,16,42,45
BS35 4JF,GP,1722,1526,85,70
BS34 8UE,GP,6569,5309,50,32
BS4 2DF,GP,3489,4931,39,82
BS32 4DS,GP,2170,1998,36,84
BS30 8HS,GP,4532,3795,97,52
BS9 4HT,GP,4203,4079,28,30
BS6 6AU,GP,8266,6982,18,47
BS20 7QA,GP,3865,5479,22,62
BS9 1JN,GP,1861,2176,100,32
BS16 7AL,GP,4575,3874,22,63
BS37 5UY,GP,1223,1808,70,16
BS22 6AJ,GP,6034,6757,28,58
BS32 9DS,GP,6926,6897,17,69
BS7 0UE,GP,3043,5133,32,60
BS23 3SJ,GP,2215,3344,92,70
BS2 8HW,GP,1,1,41,80
BS1 3EA,GP,4353,5326,20,96
BS2 8JP,GP,2,3,65,82
BS10 5NB,North Bristol NHS Trust,11809,15835,37,53
BS1 3NU,University Hospitals Bristol NHS Foundation Trust,12169,12030,20,48
