postcode,north,east
BS20 6AQ,51.48283,-2.76731
BS3 1AS,51.44534,-2.59948
BS11 9SB,51.48914,-2.67677
BS14 8PT,51.41156,-2.54414
BS6 5PT,51.46653,-2.58945
BS16 3TD,51.47974,-2.52657
BS36 2DE,51.53305,-2.49443
BS5 0UA,51.46546,-2.57172
BS23 1YA,51.34454,-2.97435
BS9 3AA,51.49300,-2.61768
BS35 1DP,51.61289,-2.51771
BS34 6BQ,51.52942,-2.55488
BS25 1AF,51.31507,-2.83082
BS7 9RR,51.49000,-2.57628
BS5 6SA,51.47024,-2.56337
BS37 4DQ,51.53953,-2.41493
BS16 5SG,51.48510,-2.50526
BS7 0LS,51.50081,-2.57014
BS30 5QQ,51.45231,-2.42235
BS14 0SU,51.41345,-2.57182
BS4 4HU,51.44625,-2.54798
BS48 2XX,51.43271,-2.76003
BS34 5TF,51.53857,-2.58404
BS10 6SP,51.51028,-2.61771
BS5 7PD,51.45900,-2.53144
BS21 6DG,51.43723,-2.84572
BS13 0JP,51.40762,-2.60133
BS37 4AA,51.53965,-2.41514
BS23 3HQ,51.34576,-2.95817
BS23 4JP,51.33233,-2.97540
BS16 6UG,51.49663,-2.48785
BS37 4AX,51.54050,-2.41421
BS30 5JZ,51.44990,-2.46822
BS13 7JD,51.42587,-2.61309
BS13 8LD,51.41305,-2.61945
BS15 8NJ,51.46214,-2.51060
BS22 8AG,51.35267,-2.94882
BS5 9QY,51.45581,-2.56147
BS15 1WW,51.46819,-2.51729
BS15 4EJ,51.46296,-2.50013
BS24 7DX,51.35259,-2.91475
BS10 6DF,51.50477,-2.60162
BS16 2JD,51.48190,-2.52871
BS9 2HL,51.48459,-2.64993
BS7 8SA,51.48496,-2.58770
BS15 3HY,51.44357,-2.51205
BS8 3EU,51.46434,-2.61852
BS3 4AT,51.44406,-2.59422
BS4 2QJ,51.43422,-2.56601
BS20 0DL,51.48062,-2.68914
BS40 5EL,51.34157,-2.78482
BS2 0AN,51.45755,-2.57269
BS6 6DF,51.46271,-2.60337
BS8 2PU,51.46510,-2.61238
BS4 1WH,51.42875,-2.59626
BS10 6AF,51.49959,-2.61127
BS35 2AT,51.60658,-2.52546
BS7 9EG,51.47899,-2.58743
BS35 4JF,51.56403,-2.64125
BS34 8UE,51.51777,-2.54646
BS4 2DF,51.43864,-2.57272
BS32 4DS,51.55354,-2.57352
BS30 8HS,51.44735,-2.48876
BS9 4HT,51.48307,-2.60954
BS6 6AU,51.46234,-2.60408
BS20 7QA,51.48446,-2.75827
BS9 1JN,51.47553,-2.63102
BS16 7AL,51.49273,-2.47699
BS37 5UY,51.54891,-2.41776
BS22 6AJ,51.35778,-2.92564
BS32 9DS,51.54021,-2.56065
BS7 0UE,51.49758,-2.58282
BS23 3SJ,51.33133,-2.96517
BS2 8HW,51.45915,-2.59478
BS1 3EA,51.45739,-2.58948
BS2 8JP,51.46264,-2.59068
BS10 5NB,51.49733,-2.59295
BS1 3NU,51.45948,-2.59302
